Region,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Longitude,Latitude,Kids,Youth,Working,Elderly
Ang Mo Kio,5440,6190,7370,7900,8870,10580,10460,10900,11710,12550,12170,13060,12780,11950,8930,6120,3860,2090,1030,11110,56720,43420,21450,13820,16030,1410,163960,1.3756,103.8419,19000,16770,94210,33980
Bedok,10020,11640,13260,14620,16640,19510,17920,18300,20010,21220,20810,22500,21780,18770,13610,8300,5550,3110,1810,10040,55780,66930,45490,54330,44110,2700,279380,1.3252,103.9308,34920,31260,162050,51150
Bishan,2860,3840,4410,4730,5540,7060,5410,5280,5930,6830,6500,7220,7130,5740,3860,2530,1670,960,530,1190,4960,28620,25480,16650,10420,710,88030,1.3545,103.8374,11110,10270,51360,15290
Boon Lay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3147,103.7045,0,0,0,0
Bukit Batok,7080,6610,7740,8780,9820,12500,12480,10600,10730,11660,12020,12390,11540,8490,5040,2900,1810,1000,550,5070,27940,54270,33290,26350,5860,960,153740,1.3562,103.7526,21430,18600,93920,19790
Bukit Merah,6130,6630,6630,6320,6780,9170,10440,11000,11820,11750,10770,10990,11160,10320,8270,5940,4190,2240,1430,22310,35880,48300,30280,13190,450,1570,151980,1.2773,103.8215,19390,13100,87100,32390
Bukit Panjang,6680,7180,7640,8470,9560,10570,10710,10210,9610,10600,10430,11350,9950,6880,4180,2450,1560,830,450,2460,10130,56040,48570,18750,3190,170,139310,1.3668,103.7726,21500,18030,83430,16350
Bukit Timah,3160,4790,4980,4800,4660,4680,4050,4680,5960,6880,5920,5350,4920,4260,3290,2180,1530,860,500,180,900,2550,3460,36680,32710,970,77450,1.3286,103.7934,12930,9460,42440,12620
Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3764,103.8016,0,0,0,0
Changi,140,150,140,110,90,100,150,160,180,150,130,100,90,60,40,30,10,10,0,0,360,0,10,10,320,1140,1840,1.352,103.9969,430,200,1060,150
Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3303,104.0273,0,0,0,0
Choa Chu Kang,8970,9140,10420,12770,15980,16220,14060,12940,12680,14580,16700,15640,12030,8130,4630,2780,1770,980,480,4790,7050,80190,74500,21340,2460,570,190900,1.3876,103.7485,28530,28750,114850,18770
Clementi,3950,4340,4530,4560,4660,5360,6050,6960,7260,7430,6590,6480,6230,6410,5050,3080,1960,990,540,2570,26450,26800,12630,17040,5700,1240,92430,1.3172,103.7605,12820,9220,52360,18030
Downtown Core,80,80,60,70,100,180,270,350,290,290,220,190,140,130,110,40,40,20,60,0,0,640,0,1710,0,370,2720,1.2868,103.8527,220,170,1930,400
Geylang,3970,4270,4910,5170,5980,7970,7930,7740,8060,8190,8090,8870,8770,7060,5120,3470,2410,1390,830,8850,27690,30800,15310,19180,6410,1960,110200,1.3226,103.8894,13150,11150,65620,20280
Hougang,8900,9250,10400,12120,14780,17620,16630,15200,15210,16600,17210,19390,18150,13870,8870,5540,3560,1910,1030,5530,26600,86000,53540,27980,22340,4250,226240,1.3599,103.8888,28550,26900,136010,34780
Jurong East,2630,3020,3630,4350,4920,5790,5460,5230,5360,5930,5920,6370,6660,5800,3760,2090,1270,680,370,1940,17710,25990,26080,6970,0,550,79240,1.3249,103.7423,9280,9270,46720,13970
Jurong West,11080,13540,15400,16670,17720,19570,18540,20630,21390,21340,20440,19350,17750,13890,8410,4620,2560,1290,690,8060,33210,100870,101010,16670,4310,750,264880,1.3434,103.7043,40020,34390,159010,31460
Kallang,4020,4130,4190,4370,4680,6120,7030,7440,7880,8210,7370,7740,7650,6850,5240,3710,2540,1410,940,11620,25930,27420,14800,18710,1420,1620,101520,1.3121,103.8651,12340,9050,59440,20690
Lim Chu Kang,10,10,10,10,10,0,0,0,10,10,10,20,10,10,10,0,0,0,0,0,0,0,0,0,0,130,130,1.4317,103.7167,30,20,60,20
Mandai,70,90,130,140,170,160,140,120,150,180,170,180,130,90,80,50,30,20,10,0,0,0,0,1290,740,80,2110,1.4274,103.813,290,310,1230,280
Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2875,103.8736,0,0,0,0
Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2796,103.8656,0,0,0,0
Marine Parade,1870,2410,2450,2390,2400,2500,2440,3180,3780,4150,3480,3330,3000,2640,2280,1640,1300,720,440,3320,6240,4800,5360,16980,9280,420,46400,1.2982,103.8968,6730,4790,25860,9020
Museum,20,20,20,10,10,30,40,50,50,60,40,30,20,20,10,10,0,0,0,0,0,0,0,430,0,10,440,1.2961,103.8475,60,20,320,40
Newton,390,550,470,350,360,390,470,600,760,840,660,570,470,410,340,170,110,80,60,0,0,0,0,7190,570,290,8050,1.3088,103.8409,1410,710,4760,1170
North-Eastern Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4039,104.0561,0,0,0,0
Novena,2150,2870,2550,2330,2440,2880,3200,3720,4250,4380,3620,3370,3050,2670,2090,1510,1060,670,410,1770,7750,7860,4650,18640,7730,820,49220,1.3264,103.8375,7570,4770,28470,8410
Orchard,50,50,50,40,40,40,50,80,90,90,80,70,60,60,50,30,10,10,0,0,0,0,0,830,0,120,950,1.3039,103.8342,150,80,560,160
Outram,700,870,760,590,690,990,1070,1370,1610,1410,1290,1450,1480,1430,1160,800,630,320,350,5530,4930,4840,2080,1070,0,520,18970,1.2819,103.8434,2330,1280,10670,4690
Pasir Ris,5910,6660,7910,10080,13150,12740,8940,9200,10060,11150,13810,13490,9630,6320,3770,2270,1530,890,490,1450,920,39540,62090,36260,7190,550,148000,1.3763,103.9539,20480,23230,89020,15270
Paya Lebar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3597,103.9171,0,0,0,0
Pioneer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3097,103.6693,0,0,0,0
Punggol,16840,14710,10820,8150,6360,8860,18610,21760,16630,12970,8860,7530,6160,5100,3420,1880,1080,530,290,8960,14160,69160,56040,21750,280,210,170560,1.4037,103.9052,42370,14510,101380,12300
Queenstown,4190,4230,4200,4190,4770,5920,6830,7330,7350,7500,6920,6800,6290,5780,4960,3740,2910,1590,830,7940,30230,27510,14140,11480,3460,1570,96330,1.2872,103.7851,12620,8960,54940,19810
River Valley,490,580,550,510,450,550,620,910,1060,1090,840,670,580,480,380,210,140,70,70,0,0,0,0,9480,700,70,10250,1.2979,103.8363,1620,960,6320,1350
Rochor,390,430,520,530,620,800,890,1000,1130,1100,970,1010,1020,960,720,530,350,210,180,720,4390,4290,750,2330,150,730,13360,1.305,103.8542,1340,1150,7920,2950
Seletar,10,10,20,20,20,0,10,10,20,50,30,20,20,10,10,10,0,0,0,0,0,0,0,0,260,10,270,1.4115,103.8788,40,40,160,30
Sembawang,5560,5670,6230,6200,5600,7190,8000,8170,8400,8380,6950,6300,5010,3410,1980,1320,830,490,240,5130,3560,34350,38290,10080,3720,800,95930,1.4529,103.8184,17460,11800,58400,8270
Sengkang,17380,17230,15360,13560,12690,14390,22440,24840,21950,19390,15540,14670,12970,9300,5880,3410,1960,1030,620,7130,10940,99640,95690,28880,1530,800,244610,1.3885,103.8959,49970,26250,146190,22200
Serangoon,3520,4300,5320,6380,7750,9400,7660,6750,7220,8390,8630,9680,10060,8140,5470,3320,2310,1280,750,1550,10010,31990,21210,15230,35390,950,116330,1.3668,103.8679,13140,14130,67790,21270
Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4436,103.8478,0,0,0,0
Singapore River,230,210,170,120,90,120,190,350,420,380,230,190,140,90,80,50,30,10,20,0,0,0,0,2950,0,170,3120,1.2908,103.8405,610,210,2020,280
Southern Islands,130,120,110,90,90,70,80,160,180,240,180,180,120,60,30,20,10,0,0,0,0,0,0,1220,640,10,1870,1.2489,103.8343,360,180,1210,120
Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2716,103.8602,0,0,0,0
Sungei Kadut,20,50,30,40,50,60,40,40,50,60,60,60,60,40,40,30,30,20,10,0,0,0,0,0,700,90,790,1.4168,103.7563,100,90,430,170
Tampines,11300,11180,12060,13980,18560,21420,18720,17890,16590,17410,19430,21970,20900,15220,9010,4980,3280,1820,1030,6570,34120,98950,84480,26900,4570,1160,256750,1.3461,103.948,34540,32540,154330,35340
Tanglin,1100,1580,1340,1100,980,1030,1190,1640,2080,2110,1750,1470,1210,1080,830,500,310,200,140,0,40,190,260,16650,4310,190,21640,1.3075,103.815,4020,2080,12480,3060
Tengah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3626,103.725,0,0,0,0
Toa Payoh,4250,4990,5260,5660,6350,8010,7690,8100,8750,9470,8910,9280,9170,7750,6130,4710,3340,1830,1000,10040,35360,31000,23310,13940,5690,1310,120650,1.3361,103.8627,14500,12010,69380,24760
Tuas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2819,103.6344,0,0,0,0
Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2573,103.6744,0,0,0,0
Western Water Catchment,30,40,30,30,140,40,30,70,70,40,50,60,40,10,0,10,0,0,0,0,0,0,0,0,0,690,690,1.3815,103.6962,100,170,400,20
Woodlands,11590,12820,14880,18290,21390,20210,17850,17940,18290,20880,22000,19650,15220,10150,6060,3560,2260,1130,560,9910,19750,104610,102010,16710,720,1020,254730,1.4423,103.7886,39290,39680,152040,23720
Yishun,12050,11270,10940,11660,13120,17420,18660,17910,15750,15750,15880,17710,15280,11450,6970,4090,2490,1230,690,8070,40610,100260,46580,18170,5690,940,220320,1.4193,103.8395,34260,24780,134360,26920
