Region,County,0 - 4,5-9,10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 & Over,1/2-Rm-HDB,3-Rm-HDB,4-Rm-HDB,5-Rm-HDB & EC,Condos,Landed Properties,Others,Total Pop,Latitude,Longitude,Kids,Youth,Working,Elderly
Ang Mo Kio,Ang Mo Kio Town Centre,170,240,310,310,280,280,280,320,420,470,350,350,280,260,210,140,80,40,20,0,420,630,1830,1900,0,30,4810,1.3731,103.8467,720,590,2750,750
Ang Mo Kio,Cheng San,1060,1000,1070,1210,1370,1800,2000,2210,2040,2230,2080,2160,2200,2140,1560,1020,590,310,160,950,13390,8800,4930,0,0,140,28210,1.3729,103.854,3130,2580,16720,5780
Ang Mo Kio,Chong Boon,860,880,1040,1140,1350,1610,1920,1820,1890,1830,1980,2140,2160,2070,1670,1180,730,390,180,1580,12370,8620,3770,0,0,500,26840,1.3628,103.856,2780,2490,15350,6220
Ang Mo Kio,Kebun Bahru,730,840,1030,1080,1160,1430,1390,1530,1670,1840,1800,1780,1740,1710,1300,890,590,310,150,1690,10430,5720,2170,1580,1140,240,22970,1.373,103.8392,2600,2240,13180,4950
Ang Mo Kio,Sembawang Hills,210,290,410,470,540,520,320,300,400,550,540,560,480,420,310,240,150,100,50,0,0,0,0,250,6510,100,6860,1.3743,103.8298,910,1010,3670,1270
Ang Mo Kio,Shangri-La,550,570,670,710,870,1030,1030,1020,1070,1180,1280,1410,1250,1140,900,660,410,240,120,2740,6150,5150,1730,0,280,60,16110,1.3679,103.838,1790,1580,9270,3470
Ang Mo Kio,Tagore,230,320,430,480,570,700,490,360,460,610,600,710,710,510,330,220,180,100,60,0,0,0,0,2530,5370,170,8070,1.386,103.8293,980,1050,4640,1400
Ang Mo Kio,Townsville,740,900,920,830,930,1350,1370,1520,1710,1550,1390,1610,1680,1590,1290,960,620,330,170,1400,6530,9600,3840,0,0,90,21460,1.3646,103.8477,2560,1760,12180,4960
Ang Mo Kio,Yio Chu Kang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3844,103.846,0,0,0,0
Ang Mo Kio,Yio Chu Kang East,160,170,230,260,320,330,240,240,250,330,290,360,360,260,180,110,80,30,30,0,0,0,0,1830,2290,110,4230,1.384,103.8537,560,580,2400,690
Ang Mo Kio,Yio Chu Kang North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3926,103.8472,0,0,0,0
Ang Mo Kio,Yio Chu Kang West,750,980,1270,1410,1470,1530,1430,1580,1790,1970,1860,1990,1940,1860,1200,700,430,240,90,2750,7430,4900,3180,5730,440,60,24490,1.3824,103.8399,3000,2880,14090,4520
